model_id,provider_tag,organization,endpoint_id,from_at,to_at,direction,before,after
mistralai/mistral-small-3.2-24b-instruct,chutes/bf16,Chutes,a19c2a4a-f3dc-451f-ae9f-07ae51a6b234,2026-02-06T00:00:00.000Z,2026-02-07T00:00:00.000Z,metered,,3E-8
qwen/qwen2.5-vl-72b-instruct,chutes/bf16,Chutes,f80f9c7d-2b54-4ee2-bb8f-c8a46fde38d2,2026-02-06T00:00:00.000Z,2026-02-07T00:00:00.000Z,metered,,7.5E-8
openai/gpt-oss-20b,chutes/bf16,Chutes,b7b8e301-d648-40a1-a392-d6781a40b077,2026-02-06T00:00:00.000Z,2026-02-07T00:00:00.000Z,metered,,1E-8
qwen/qwen3-vl-235b-a22b-instruct,chutes/bf16,Chutes,a0278f12-6bde-4319-b044-74894fbeb33a,2026-02-06T00:00:00.000Z,2026-02-07T00:00:00.000Z,metered,,1.5E-7
qwen/qwen-vl-plus,alibaba,Alibaba,df9c15ac-870b-40e5-aa43-e4b3b44951f7,2026-02-09T00:00:00.000Z,2026-02-10T00:00:00.000Z,metered,,4.2E-8
deepseek/deepseek-chat-v3.1,wandb-legacy/fp8,WandB,a50fbc5c-1405-4940-92ad-c455b0396643,2026-02-10T00:00:00.000Z,2026-02-11T00:00:00.000Z,metered,,5.5E-7
deepseek/deepseek-chat-v3.1,wandb-legacy/fp8,WandB,a50fbc5c-1405-4940-92ad-c455b0396643,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,5.5E-7,
meta-llama/llama-3.3-70b-instruct,wandb-legacy/fp16,WandB,4420efea-38fe-4ec1-a7c6-c6dbcdeea8aa,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,7.1E-7,
z-ai/glm-4.5,wandb/bf16,WandB,846a0714-f3dd-4a87-a395-ba147da682bc,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,5.5E-7,
deepseek/deepseek-chat-v3-0324,nebius/fast,Nebius,0dd6bc5a-8695-4d4d-8067-2f4ccf7e49e0,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,7.5E-7,
qwen/qwen3-coder,google-vertex/us-south1,Google,803d4906-0d0b-49b6-8705-7ae0a4d45217,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,2.2E-8,
deepseek/deepseek-chat-v3.1,google-vertex/us-west2,Google,26971f72-0b43-4255-a39d-98da9ca32119,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,3E-7,
deepseek/deepseek-r1-0528,nebius/fast,Nebius,41c6e987-156d-4426-b1d6-d374b0ee760f,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,0.000002,
qwen/qwen3-235b-a22b-2507,wandb/bf16,WandB,c9f927db-d559-49eb-9846-80862c5e3b4e,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,1E-7,
moonshotai/kimi-k2-thinking,google-vertex,Google,e841d362-719d-4f53-86c8-f83f5bbd7361,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,6E-7,
openai/gpt-oss-120b,google-vertex/global,Google,93ec7f6d-c7aa-44c1-b9a7-2cd664a17b13,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,9E-8,
openai/gpt-oss-20b,google-vertex/us-central1,Google,d14eeefb-d9fc-4732-b0d7-db609aad8308,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,7E-8,
qwen/qwen3-coder,wandb-legacy/bf16,WandB,78c02619-0533-4ed0-9c98-2acbed354856,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,0.000001,
deepseek/deepseek-chat-v3-0324,wandb/fp8,WandB,78b3f653-4585-4c35-9a42-e3da2d6597ad,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,0.00000114,
openai/gpt-oss-120b,wandb-legacy/fp4,WandB,3ca6292f-cef7-48a2-bf52-988e934cab57,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,1.5E-7,
minimax/minimax-m2,google-vertex,Google,c80588c8-ce64-46f2-b375-19bf4504133e,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,3E-7,
openai/gpt-oss-20b,wandb-legacy/fp4,WandB,d15a4ea2-a51e-4d29-8c85-785c3beb2a37,2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z,unmetered,5E-8,
