group,current_models,model_percent,current_endpoints,endpoint_percent,standard_model_ids,at_most_two_current_prompt_levels,median_current_prompt_levels,median_current_tags,all_meter_changes_7d,change_share_7d,input_changes_7d,core_changes_7d,zero_all_meter_models_7d,zero_input_models_7d,full_window_models_7d,full_window_zero_all_meter_models_7d,full_window_zero_input_models_7d,full_window_flat_two_level_models_7d,changes_per_100_endpoint_days_7d,all_meter_changes_30d,change_share_30d,input_changes_30d,core_changes_30d,zero_all_meter_models_30d,zero_input_models_30d,full_window_models_30d,full_window_zero_all_meter_models_30d,full_window_zero_input_models_30d,full_window_flat_two_level_models_30d,changes_per_100_endpoint_days_30d,zero_all_meter_current_endpoints_30d,all_meter_changes_90d,change_share_90d,input_changes_90d,core_changes_90d,zero_all_meter_models_90d,zero_input_models_90d,full_window_models_90d,full_window_zero_all_meter_models_90d,full_window_zero_input_models_90d,full_window_flat_two_level_models_90d,changes_per_100_endpoint_days_90d,zero_all_meter_current_endpoints_90d
arcee-ai,1,0.24390243902439024,1,0.07892659826361484,1,1,1,1,0,0.0,0,0,1,1,1,1,1,1,0.0,0,0.0,0,0,1,1,1,1,1,1,0.0,1,1,0.024697456162015314,1,1,0,0,1,0,0,0,0.6489996478785699,1
baidu,1,0.24390243902439024,1,0.07892659826361484,1,1,1,1,0,0.0,0,0,1,1,1,1,1,1,0.0,0,0.0,0,0,1,1,1,1,1,1,0.0,1,0,0.0,0,0,1,1,1,1,1,1,0.0,1
bytedance,1,0.24390243902439024,1,0.07892659826361484,1,1,1,1,0,0.0,0,0,1,1,1,1,1,1,0.0,0,0.0,0,0,1,1,1,1,1,1,0.0,1,0,0.0,0,0,1,1,1,1,1,1,0.0,1
bytedance-seed,6,1.4634146341463414,6,0.47355958958168903,6,6,1.0,1.0,0,0.0,0,0,6,6,6,6,6,6,0.0,0,0.0,0,0,6,6,4,4,4,4,0.0,6,0,0.0,0,0,6,6,4,4,4,4,0.0,6
cognitivecomputations,1,0.24390243902439024,1,0.07892659826361484,1,1,1,1,0,0.0,0,0,1,1,1,1,1,1,0.0,0,0.0,0,0,1,1,1,1,1,1,0.0,1,0,0.0,0,0,1,1,0,0,0,0,0.0,1
cohere,5,1.2195121951219512,5,0.39463299131807417,4,4,1,1,0,0.0,0,0,5,5,5,5,5,4,0.0,0,0.0,0,0,5,5,5,5,5,4,0.0,5,0,0.0,0,0,5,5,4,4,4,4,0.0,5
dots-studio,1,0.24390243902439024,1,0.07892659826361484,0,0,0,1,0,0.0,0,0,1,1,1,1,1,0,0.0,0,0.0,0,0,1,1,0,0,0,0,0.0,1,0,0.0,0,0,1,1,0,0,0,0,0.0,1
gryphe,1,0.24390243902439024,4,0.31570639305445936,1,0,4,4,0,0.0,0,0,1,1,1,1,1,0,0.0,1,0.046992481203007516,1,1,0,0,1,0,0,0,0.8333333333333334,3,4,0.09878982464806126,3,4,0,0,1,0,0,0,1.2868930724916128,3
ibm-granite,2,0.4878048780487805,3,0.23677979479084452,2,2,1.5,1.5,0,0.0,0,0,2,2,2,2,2,2,0.0,0,0.0,0,0,2,2,1,1,1,1,0.0,3,0,0.0,0,0,2,2,1,1,1,1,0.0,3
inception,2,0.4878048780487805,2,0.15785319652722968,2,2,1.0,1.0,1,0.1941747572815534,1,1,1,1,1,1,1,1,14.20121912173122,1,0.046992481203007516,1,1,1,1,1,1,1,1,3.328712085683515,1,1,0.024697456162015314,1,1,1,1,1,1,1,1,1.110597164134769,1
