model_id,provider_tag,historical_uuids,current_uuids,endpoint_ids
deepseek/deepseek-chat-v3-0324,modelrun/fp4,2,0,a3938710-1b99-4a1f-85f4-2494f3f659d3;14b6c123-5e9c-4a3f-ac70-255df65098b1
qwen/qwen3-coder-next,chutes/bf16,2,0,b0bd131e-0f14-43f7-b5ce-3e7636a86a3b;292e51be-8733-42cb-b0a8-737bcd0ed63c
minimax/minimax-m2.5,nebius/fp4,3,0,4b52d903-dfc5-4b01-9c67-8311d6a07a41;341a90d9-5199-4286-8f38-d3130dd2347c;5163fa4e-11ba-4845-ab9c-9cb208caafa8
minimax/minimax-m2.7,atlas-cloud/fp8,2,1,11dcff43-e386-4354-8ea6-2c48ff62b3f0;09984f54-0446-4c98-81d3-ad80b71e8bd9
arcee-ai/trinity-large-thinking,parasail/fp4,2,0,c1f9f8e6-9556-4b14-8372-e81bf9a5b562;c6203380-90d0-4ded-be03-0fbcf3aad22c
google/gemma-4-26b-a4b-it,ionstream/bf16,2,0,8136438c-85c4-460f-9df5-2051f085654f;f5e688d1-f7d7-4d4c-bae6-23a93d69e41f
google/gemma-4-31b-it,together,2,1,576fca5b-f09c-4bda-b560-9989c39ac3ab;f0196f2b-7c35-4d92-81ff-b1b0cc915a32
deepseek/deepseek-v3.2,baidu/fp8,2,1,6d33fe17-e909-4aa4-b412-7ab8473ff89f;75e0b00b-8cf7-407a-aa0a-6564f158b431
moonshotai/kimi-k2.6,baseten/fp4,2,2,85421399-264f-405d-9ad9-67835b01a3e0;8ef401c9-419b-4d2c-9dee-dacf8ee5d6f6
google/gemma-4-31b-it,friendli,2,1,c62af18d-b441-43e7-ac39-9c97561a3005;5f39227d-1f41-4e5f-858f-5798bfb80e5e
deepseek/deepseek-v4-pro,baseten/fp4,3,2,053bb86d-1bff-4cf4-bbe6-d15c8cb0de14;349baf29-4833-4f15-8313-bf17b7b7b37a;115fa517-477f-4b89-9d4d-a036cf9d2c32
moonshotai/kimi-k2.6,nebius/int4,2,0,7b372f72-3b20-4839-8a71-68ab8fcd327a;bbbb7608-2d93-4108-a140-a1005ccd1198
qwen/qwen3.6-35b-a3b,io-net/fp8,2,1,abc14f18-5528-4738-9cfc-878ffc1e23aa;78091889-fad8-46f1-811b-b93ee343059a
deepseek/deepseek-v4-pro,nextbit/fp8,2,1,b01f2bd7-52e1-4b24-84e7-fe01cdc2399e;6c7fe442-3fa4-462a-b6e3-4357d1c010e7
nvidia/nemotron-3-nano-30b-a3b,nebius/fp8,2,1,c9810c2d-ebca-420f-81af-dec206163031;38ce4c8d-18d4-4d62-b370-d4f7babd9f2b
deepseek/deepseek-v4-pro,wafer/fp4,2,0,e2243681-fd8e-41cd-b45c-fd4f5bac0740;848c7216-a51c-4f24-947a-cb0199f9643b
z-ai/glm-5.2,ambient/fp8,2,1,83cb795f-29e8-47f7-ab57-f529b2040534;41fd5712-bc61-4fdb-ab07-88089b309a29
deepseek/deepseek-v4-flash,nextbit/fp8,2,1,7f78c392-b1d0-4482-bbb4-175234996366;8dee9509-03a4-420d-a1ae-ed40c9a83d2b
moonshotai/kimi-k2.7-code,fireworks,3,1,3dc4bf6c-a684-4664-a918-3170018b561c;fc0d782b-e622-4ee2-b8c3-0d34f3c03f7f;114a3cc7-181d-4df7-ac49-c7a3d1d7f607
z-ai/glm-5.2,baseten/fp8,2,2,cd46df79-a451-442a-8522-77b509c7dd8d;78c8ae59-a960-4a40-bb26-0c94381848c9
nvidia/nemotron-3-ultra-550b-a55b,baseten/fp4,2,2,e3762805-f8b2-46e6-ba1e-acd877fc6cd3;9c07a229-5887-471b-ba3f-174838d8d44a
thinkingmachines/inkling,baseten/fp8,2,2,ba2df08c-c0a0-4e0e-9f31-d79a9c475b70;691c185e-aaed-4f04-aa1e-69cba3df74ea
z-ai/glm-5.2,baseten/fast,2,2,cec37412-e6c6-4859-8b2c-a3f547f49178;4c134f42-ca48-4e2b-9668-3b7f118f90ba
moonshotai/kimi-k2.7-code,nebius/fp4,2,0,07b3e840-d4f7-4aaa-b483-7e78db9380ac;f8f92adf-4955-449c-9fe8-57c12aadf551
deepseek/deepseek-v4-flash-0731,baseten/fp8,2,2,ceaae883-4cba-45dd-b986-5cd0e6bf06af;47a93b18-a9c6-485b-9a47-2afb6ca790dc
deepseek/deepseek-v4-pro-0813,baseten/fp4,2,2,85bb5a4a-983d-4d11-b97b-c7e5b348375f;bc1be763-ca65-4d43-84ff-5d6c16560713
deepseek/deepseek-v4-pro-0813,sail-research/fp4,2,1,6811c06b-8624-4796-ad6e-807e33b97ae6;aef37384-637b-4d29-b7d8-756fdbfd277f
