at,organization,endpoints,cache_metered,cache_percent
2025-10-01T00:00:00.000Z,AtlasCloud,16,0,0.0
2025-10-01T00:00:00.000Z,Azure,16,5,31.25
2025-10-01T00:00:00.000Z,BaseTen,9,0,0.0
2025-10-01T00:00:00.000Z,Cerebras,9,0,0.0
2025-10-01T00:00:00.000Z,Chutes,88,0,0.0
2025-10-01T00:00:00.000Z,Cloudflare,12,0,0.0
2025-10-01T00:00:00.000Z,Cohere,4,0,0.0
2025-10-01T00:00:00.000Z,Crusoe,6,0,0.0
2025-10-01T00:00:00.000Z,DeepInfra,75,0,0.0
2025-10-01T00:00:00.000Z,DeepSeek,1,1,100.0
2025-10-01T00:00:00.000Z,Featherless,4,0,0.0
2025-10-01T00:00:00.000Z,Fireworks,20,0,0.0
2025-10-01T00:00:00.000Z,Friendli,9,0,0.0
2025-10-01T00:00:00.000Z,GMICloud,13,0,0.0
2025-10-01T00:00:00.000Z,Google,52,30,57.69230769230769
2025-10-01T00:00:00.000Z,Google AI Studio,16,7,43.75
2025-10-01T00:00:00.000Z,Groq,12,2,16.666666666666668
2025-10-01T00:00:00.000Z,Hyperbolic,21,0,0.0
2025-10-01T00:00:00.000Z,Inception,2,0,0.0
2025-10-01T00:00:00.000Z,InferenceNet,8,0,0.0
2025-10-01T00:00:00.000Z,Infermatic,4,0,0.0
2025-10-01T00:00:00.000Z,Inflection,2,0,0.0
2025-10-01T00:00:00.000Z,Liquid,2,0,0.0
2025-10-01T00:00:00.000Z,Mancer 2,8,0,0.0
2025-10-01T00:00:00.000Z,Meta,4,0,0.0
2025-10-01T00:00:00.000Z,Minimax,3,0,0.0
2025-10-01T00:00:00.000Z,Mistral,25,0,0.0
2025-10-01T00:00:00.000Z,Moonshot AI,3,3,100.0
2025-10-01T00:00:00.000Z,Morph,2,0,0.0
2025-10-01T00:00:00.000Z,NCompass,6,0,0.0
2025-10-01T00:00:00.000Z,Nebius,30,0,0.0
2025-10-01T00:00:00.000Z,NextBit,20,0,0.0
2025-10-01T00:00:00.000Z,Novita,55,0,0.0
2025-10-01T00:00:00.000Z,Nvidia,1,0,0.0
2025-10-01T00:00:00.000Z,OpenAI,38,22,57.89473684210526
2025-10-01T00:00:00.000Z,OpenInference,4,0,0.0
2025-10-01T00:00:00.000Z,Parasail,32,0,0.0
2025-10-01T00:00:00.000Z,Perplexity,6,0,0.0
2025-10-01T00:00:00.000Z,Phala,5,0,0.0
2025-10-01T00:00:00.000Z,Relace,1,0,0.0
2025-10-01T00:00:00.000Z,SambaNova,11,0,0.0
2025-10-01T00:00:00.000Z,SiliconFlow,23,0,0.0
2025-10-01T00:00:00.000Z,Switchpoint,1,0,0.0
2025-10-01T00:00:00.000Z,Targon,7,0,0.0
2025-10-01T00:00:00.000Z,Together,46,0,0.0
2025-10-01T00:00:00.000Z,Venice,6,0,0.0
2025-10-01T00:00:00.000Z,WandB,9,0,0.0
2025-10-01T00:00:00.000Z,Z.AI,6,4,66.66666666666667
2025-10-01T00:00:00.000Z,xAI,12,11,91.66666666666667
2025-11-01T00:00:00.000Z,AI21,2,0,0.0
2025-11-01T00:00:00.000Z,AionLabs,3,0,0.0
